slug	url	name	pub	skill	tool
riots	https://www.livemint.com/news/india/the-geography-of-riots-in-india-11583304754521.html	The geography of riots	Mint	Graphics	"QGIS, Illustrator"
noise	https://www.livemint.com/news/india/which-is-india-s-noisiest-city-11581527059879.html	India's noisiest metro	Mint	Graphics	"OSM, QGIS, Illustrator"
airpollution	https://www.livemint.com/news/india/mapped-bad-air-days-across-cities-11577602444140.html	Mapping air quality across India's metros	Mint	"Data Collection, Statistical Analysis, Graphics"	"Python, Illustrator"
poverty	https://www.livemint.com/news/india/rural-poverty-has-shot-up-nso-data-shows-11575352445478.html	India's rural poverty has shot up	Mint	Statistical Analysis	Excel
municipalfinances	https://www.livemint.com/news/india/which-is-india-s-best-financed-metro-city-11572797317414.html	India's best financed metros	Mint	"Story Planning, Design and Development, Analysis, Writing, Graphics"	Illustrator
greenery	https://www.livemint.com/news/india/which-is-india-s-greenest-metro-11572280645457.html	India's greenest metros	Mint	"Story Planning, Design and Development, Analysis, Writing, Graphics"	"Python, Google Earth Engine, QGIS, Illustrator"
socialinfra	https://www.livemint.com/news/india/the-state-of-social-infrastructure-in-metros-11571582503597.html	The state of social infrastructure in metros	Mint	"Story Planning, Design and Development, Analysis, Writing, Graphics"	"Python, QGIS, Illustrator"
diningout	https://www.livemint.com/news/india/the-most-popular-dine-out-hubs-in-india-11570968468566.html	Most popular dine out hubs in India	Mint	"Story Planning, Design and Development, Analysis, Writing, Graphics"	"Python, QGIS, Illustrator"
rent	https://www.livemint.com/news/india/the-geography-of-rents-in-urban-india-11570174747134.html	The geography of rent	Mint	"Story Planning, Design and Development, Analysis, Writing, Graphics"	"Python, QGIS, Illustrator"
caste	https://www.livemint.com/news/india/the-geography-of-caste-in-urban-india-1569564507580.html	The geography of caste	Mint	"Story Planning, Design and Development, Analysis, Writing, Graphics"	"Python, QGIS, Illustrator"
migration	https://www.livemint.com/news/india/migrant-flows-to-delhi-mumbai-ebbing-1568981492505.html	The geography of migration	Mint	"Story Planning, Design and Development, Analysis, Writing, Graphics"	"Python, QGIS, Illustrator"
transit	https://www.livemint.com/news/india/india-s-public-transport-challenge-1568355574941.html	India's public transport challenge	Mint	"Story Planning, Design and Development, Analysis, Writing, Graphics"	"Python, QGIS, Illustrator"
slowroads	https://www.livemint.com/news/india/the-slowest-roads-in-urban-india-1567955358892.html	The slowest roads in India	Mint	"Story Planning, Design and Development, Analysis, Writing, Graphics"	"Python, QGIS, Illustrator"
rainfall	https://www.livemint.com/news/india/the-roots-of-india-s-deepening-rural-water-crisis-1564323444810.html	Where the monsoons are erratic	Mint	Graphics	"Excel, QGIS, Illustrator"
hotterindia	https://www.livemint.com/news/india/the-growing-threat-of-climate-change-in-india-1563716968468.html	Where India's getting hotter	Mint	Graphics	"Excel, QGIS, Illustrator"
courts	https://www.livemint.com/news/india/the-most-stressed-district-courts-in-india-1566147384627.html	The most stressed district courts in India	Mint	"Data Collection and Analysis, Writing, Graphics"	"Excel, QGIS, Illustrator"
indiaevolvingboundaries	https://www.livemint.com/news/india/how-india-s-map-has-evolved-since-1947-1565803882094.html	How India's map has evolved since 1947	Mint	Graphics	Illustrator
independencespeeches	https://www.livemint.com/news/india/what-the-independence-day-speeches-of-indian-pms-reveal-1565534753371.html	History through independence day speeches	Mint	Graphics	"Python, D3.js, Illustrator"
rhetoricandreality	https://www.livemint.com/budget/news/budget-2019-20-speech-rhetoric-and-reality-1563117630985.html	2019 Budget speech: Rhetoric and reality	Mint	"Data Collection and Analysis, Writing, Graphics"	"Python, Illustrator"
easternfront	https://www.livemint.com/politics/news/how-bjp-breached-the-eastern-front-in-2019-1560090546957.html	Deciphering 2019 Elections: East & NE India	Mint	"Data Collection and Analysis, Writing, Graphics"	"Python, QGIS, Illustrator"
2019results	https://www.livemint.com/elections/lok-sabha-elections/ten-charts-that-explain-the-2019-lok-sabha-verdict-1558636775444.html	2019 Elections in 10 Charts	Mint	"Story Planning, Design and Development"	Illustrator
pmspeeches	https://www.livemint.com/elections/lok-sabha-elections/lok-sabha-elections-2019-phase-1-narendra-modi-speeches-manmohan-singh-speeches-bjp-congress-1554931522878.html	What has Modi spoken about	Mint	"Story Planning, Design and Development, Data Collection and Analysis, Writing, Graphics"	"Python, D3.js, Illustrator"
macrotracker	https://www.livemint.com/news/india/no-festive-cheer-in-india-s-economic-report-card-11571838873163.html	Mint Macro Tracker	Mint	Interactive Graphics	"Python, D3.js"
ganga	https://www.livemint.com/politics/news/a-cleaner-ganga-nda-s-unfulfilled-promise-1556462580465.html	A cleaner Ganga: NDA's unfulfilled promise	Mint	"Story Planning, Design and Development, Data Collection and Analysis, Writing, Graphics"	Illustrator
indiaworkers	https://www.livemint.com/news/india/mint-district-jobs-tracker-find-out-how-your-district-scores-1550043975640.html	Mint District Jobs Tracker	Mint	Interactive Graphics	"Python, D3.js"
telangana	https://www.livemint.com/Politics/qTCkpjldUGh24LYTByE2hK/Can-a-united-opposition-defeat-TRS-in-Telangana-elections.html	2018 Telangana Elections	Mint	Graphics	"QGIS, Illustrator"
chhattisgarh	https://www.livemint.com/Politics/JssRXdIgDl0qoTQ1J8fGcO/Can-BJP-retain-its-foothold-in-Chhattisgarh.html	2018 Chhattisgarh Elections	Mint	Graphics	"QGIS, Illustrator"
